dataset,subject,session,fmap,task
HBN,NDARAV519RND,HBNsiteCBIC,epi,task-rest_acq-ABCD_run-2
HBN,NDARAX283MAK,HBNsiteRU,epi,task-movieDM
HBN,NDARAX283MAK,HBNsiteRU,epi,task-movieTP
HBN,NDARAX283MAK,HBNsiteRU,epi,task-peer_run-1
HBN,NDARAX283MAK,HBNsiteRU,epi,task-peer_run-2
HBN,NDARAX283MAK,HBNsiteRU,epi,task-peer_run-3
HBN,NDARAX283MAK,HBNsiteRU,epi,task-rest_run-1
HBN,NDARAX283MAK,HBNsiteRU,epi,task-rest_run-2
HBN,NDARAZ681CYF,HBNsiteCBIC,epi,task-movieDM
HBN,NDARAZ681CYF,HBNsiteCBIC,epi,task-movieTP
HBN,NDARAZ681CYF,HBNsiteCBIC,epi,task-peer_run-1
HBN,NDARAZ681CYF,HBNsiteCBIC,epi,task-peer_run-3
HBN,NDARAZ681CYF,HBNsiteCBIC,epi,task-rest_run-1
HBN,NDARAZ681CYF,HBNsiteCBIC,epi,task-rest_run-2
HBN,NDARBE091BGD,HBNsiteRU,epi,task-rest_run-1
HBN,NDARBE641DGZ,HBNsiteRU,epi,task-movieDM_acq-VARIANTNumVolumes
HBN,NDARBE641DGZ,HBNsiteRU,epi,task-movieTP
HBN,NDARBE641DGZ,HBNsiteRU,epi,task-peer_run-1
HBN,NDARBE641DGZ,HBNsiteRU,epi,task-peer_run-2
HBN,NDARBE641DGZ,HBNsiteRU,epi,task-peer_run-3
HBN,NDARBH133TK6,HBNsiteRU,epi,task-movieTP
HBN,NDARBH133TK6,HBNsiteRU,epi,task-peer_run-1
HBN,NDARBH133TK6,HBNsiteRU,epi,task-peer_run-2
HBN,NDARBH133TK6,HBNsiteRU,epi,task-peer_run-3
HBN,NDARBH133TK6,HBNsiteRU,epi,task-rest_run-1
HBN,NDARBH133TK6,HBNsiteRU,epi,task-rest_run-2
HBN,NDARBJ478HW5,HBNsiteCBIC,epi,task-movieTP
HBN,NDARBL444FBA,HBNsiteRU,epi,task-movieTP
HBN,NDARBL444FBA,HBNsiteRU,epi,task-peer_run-1
HBN,NDARBL444FBA,HBNsiteRU,epi,task-peer_run-2
HBN,NDARBL444FBA,HBNsiteRU,epi,task-peer_run-3
HBN,NDARBL444FBA,HBNsiteRU,epi,task-rest_run-1
HBN,NDARBL444FBA,HBNsiteRU,epi,task-rest_run-2
HBN,NDARBM173BJG,HBNsiteRU,epi,task-movieDM_acq-VARIANTObliquity
HBN,NDARBM173BJG,HBNsiteRU,epi,task-peer_acq-VARIANTObliquity_run-1
HBN,NDARBM173BJG,HBNsiteRU,epi,task-peer_acq-VARIANTObliquity_run-2
HBN,NDARBM173BJG,HBNsiteRU,epi,task-peer_acq-VARIANTObliquity_run-3
HBN,NDARBM173BJG,HBNsiteRU,epi,task-rest_acq-VARIANTObliquity_run-1
HBN,NDARBM173BJG,HBNsiteRU,epi,task-rest_acq-VARIANTObliquity_run-2
HBN,NDARBM839WR5,HBNsiteRU,epi,task-movieDM
HBN,NDARBM839WR5,HBNsiteRU,epi,task-movieTP
HBN,NDARBM839WR5,HBNsiteRU,epi,task-peer_run-1
HBN,NDARBM839WR5,HBNsiteRU,epi,task-peer_run-2
HBN,NDARBM839WR5,HBNsiteRU,epi,task-rest_run-2
HBN,NDARBV577EE0,HBNsiteRU,none,task-peer_acq-VARIANTNoFmap_run-1
HBN,NDARBV577EE0,HBNsiteRU,none,task-peer_acq-VARIANTNoFmap_run-2
HBN,NDARBV577EE0,HBNsiteRU,none,task-peer_acq-VARIANTNoFmap_run-3
HBN,NDARBV577EE0,HBNsiteRU,none,task-rest_acq-VARIANTNoFmap_run-1
HBN,NDARBV577EE0,HBNsiteRU,none,task-rest_acq-VARIANTNoFmap_run-2
HBN,NDARCA116GH8,HBNsiteRU,epi,task-peer_run-1
HBN,NDARCA116GH8,HBNsiteRU,epi,task-peer_run-2
HBN,NDARCA116GH8,HBNsiteRU,epi,task-rest_run-1
HBN,NDARCA116GH8,HBNsiteRU,epi,task-rest_run-2
HBN,NDARCA578CEB,HBNsiteRU,epi,task-movieTP
HBN,NDARCA578CEB,HBNsiteRU,epi,task-peer_run-1
HBN,NDARCA578CEB,HBNsiteRU,epi,task-peer_run-2
HBN,NDARCA578CEB,HBNsiteRU,epi,task-peer_run-3
HBN,NDARCA740UC8,HBNsiteRU,epi,task-movieTP
HBN,NDARCA740UC8,HBNsiteRU,epi,task-peer_run-1
HBN,NDARCA740UC8,HBNsiteRU,epi,task-peer_run-2
HBN,NDARCA740UC8,HBNsiteRU,epi,task-peer_run-3
HBN,NDARCA740UC8,HBNsiteRU,epi,task-rest_run-1
HBN,NDARCA740UC8,HBNsiteRU,epi,task-rest_run-2
